class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,airport,car,restaurant,street,train,man,woman
0.074,0.092,0.116,0.224,0.331,0.305,0.133,0.0,0.049,0.139,0.145,0.254,0.28,0.312,0.309,0.27,0.322,0.197,0.178,0.187,0.18,0.209,0.322,0.258,0.375,0.434,0.46,0.403,0.277,0.191,0.144,0.078,0.071,0.174,0.322,0.38,0.396,0.407,0.392,0.42,1,0,0,0,0,1,0
0.148,0.122,0.093,0.131,0.214,0.353,0.269,0.212,0.302,0.373,0.361,0.538,0.684,0.588,0.732,0.573,0.454,0.457,0.377,0.278,0.251,0.221,0.182,0.232,0.302,0.354,0.419,0.316,0.262,0.277,0.281,0.27,0.331,0.41,0.509,0.552,0.511,0.502,0.481,0.448,1,0,0,0,0,0,1
0.318,0.248,0.137,0.14,0.151,0.249,0.305,0.325,0.404,0.414,0.204,0.182,0.208,0.131,0.268,0.36,0.457,0.664,0.651,0.508,0.471,0.301,0.277,0.296,0.361,0.338,0.393,0.259,0.165,0.201,0.199,0.191,0.243,0.313,0.389,0.433,0.398,0.394,0.378,0.352,1,0,0,0,0,0,1
0.267,0.294,0.382,0.452,0.465,0.528,0.319,0.257,0.382,0.34,0.208,0.267,0.316,0.35,0.532,0.51,0.526,0.436,0.324,0.266,0.254,0.289,0.318,0.27,0.368,0.469,0.537,0.433,0.354,0.342,0.33,0.319,0.346,0.372,0.484,0.563,0.587,0.591,0.555,0.508,1,0,0,0,0,0,1
0.062,0.069,0.119,0.14,0.211,0.227,0.079,0.151,0.274,0.389,0.361,0.422,0.491,0.475,0.472,0.393,0.303,0.239,0.292,0.266,0.231,0.153,0.045,0.007,0.132,0.283,0.434,0.365,0.304,0.309,0.315,0.342,0.444,0.519,0.618,0.62,0.53,0.489,0.403,0.34,1,0,0,0,0,0,1
0.278,0.267,0.203,0.239,0.284,0.372,0.358,0.264,0.298,0.303,0.286,0.33,0.377,0.278,0.186,0.14,0.197,0.37,0.402,0.344,0.329,0.129,0.037,0.082,0.149,0.215,0.312,0.327,0.327,0.342,0.291,0.226,0.249,0.304,0.424,0.446,0.398,0.297,0.24,0.184,1,0,0,0,0,0,1
0.136,0.118,0.099,0.157,0.241,0.368,0.344,0.257,0.379,0.328,0.167,0.254,0.298,0.278,0.32,0.3,0.336,0.294,0.27,0.19,0.102,0.084,0.153,0.15,0.194,0.334,0.46,0.548,0.431,0.306,0.196,0.032,0.133,0.242,0.354,0.47,0.509,0.515,0.541,0.552,1,0,0,0,0,0,1
0.233,0.21,0.197,0.315,0.488,0.643,0.527,0.344,0.288,0.246,0.294,0.502,0.524,0.531,0.513,0.27,0.26,0.09,0.078,0.112,0.159,0.293,0.194,0.12,0.139,0.106,0.283,0.365,0.404,0.558,0.48,0.374,0.311,0.33,0.421,0.463,0.496,0.494,0.461,0.48,1,0,0,0,0,0,1
0.261,0.275,0.248,0.268,0.237,0.305,0.262,0.235,0.368,0.348,0.167,0.29,0.458,0.447,0.554,0.463,0.312,0.183,0.1,0.039,0.085,0.197,0.335,0.3,0.25,0.219,0.14,0.087,0.077,0.122,0.226,0.18,0.243,0.389,0.484,0.554,0.583,0.601,0.597,0.652,1,0,0,0,0,0,1
0.244,0.191,0.134,0.23,0.365,0.439,0.409,0.293,0.34,0.508,0.409,0.446,0.428,0.266,0.275,0.31,0.378,0.412,0.359,0.202,0.139,0.129,0.169,0.15,0.191,0.199,0.254,0.304,0.246,0.291,0.248,0.122,0.148,0.198,0.327,0.461,0.485,0.476,0.486,0.42,1,0,0,0,0,0,1
0.432,0.435,0.466,0.528,0.562,0.625,0.47,0.415,0.565,0.664,0.487,0.426,0.395,0.291,0.375,0.393,0.428,0.405,0.317,0.202,0.169,0.157,0.165,0.236,0.288,0.264,0.279,0.213,0.169,0.345,0.453,0.4,0.408,0.398,0.406,0.433,0.428,0.433,0.423,0.416,1,0,0,0,0,0,1
0.244,0.256,0.269,0.335,0.431,0.442,0.287,0.235,0.344,0.422,0.297,0.297,0.265,0.25,0.416,0.36,0.375,0.343,0.224,0.236,0.353,0.454,0.599,0.491,0.344,0.26,0.165,0.144,0.119,0.115,0.214,0.197,0.243,0.327,0.382,0.389,0.372,0.375,0.343,0.352,1,0,0,0,0,0,1
0.244,0.218,0.179,0.184,0.234,0.216,0.215,0.235,0.344,0.393,0.223,0.264,0.349,0.312,0.416,0.383,0.339,0.329,0.288,0.242,0.237,0.245,0.202,0.199,0.344,0.453,0.566,0.422,0.219,0.162,0.116,0.07,0.08,0.127,0.254,0.354,0.355,0.369,0.373,0.372,1,0,0,0,0,0,1
0.159,0.149,0.078,0.134,0.191,0.268,0.348,0.27,0.358,0.422,0.301,0.426,0.431,0.372,0.506,0.553,0.53,0.495,0.384,0.236,0.251,0.241,0.186,0.112,0.236,0.338,0.441,0.376,0.3,0.23,0.193,0.151,0.13,0.233,0.372,0.374,0.283,0.166,0.047,0.0,1,0,0,0,0,0,1
0.153,0.137,0.093,0.087,0.207,0.29,0.262,0.302,0.246,0.262,0.242,0.333,0.473,0.441,0.446,0.307,0.266,0.325,0.388,0.305,0.21,0.06,0.037,0.191,0.271,0.315,0.261,0.133,0.219,0.317,0.385,0.339,0.314,0.366,0.436,0.485,0.428,0.297,0.215,0.112,1,0,0,0,0,0,1
0.222,0.206,0.137,0.146,0.221,0.234,0.122,0.058,0.011,0.0,0.112,0.465,0.753,0.778,0.818,0.46,0.243,0.232,0.224,0.272,0.261,0.193,0.273,0.225,0.274,0.299,0.265,0.228,0.219,0.266,0.309,0.243,0.26,0.327,0.359,0.309,0.191,0.078,0.0,0.0,1,0,0,0,0,0,1
0.46,0.454,0.34,0.303,0.288,0.26,0.387,0.389,0.495,0.455,0.1,0.066,0.045,0.094,0.238,0.343,0.408,0.332,0.256,0.151,0.153,0.249,0.318,0.3,0.323,0.341,0.489,0.544,0.469,0.345,0.242,0.171,0.358,0.478,0.536,0.596,0.579,0.621,0.657,0.64,0,1,0,0,0,1,0
0.477,0.439,0.412,0.417,0.445,0.543,0.477,0.412,0.484,0.439,0.245,0.251,0.262,0.262,0.312,0.283,0.299,0.218,0.263,0.275,0.295,0.285,0.302,0.292,0.372,0.492,0.515,0.392,0.327,0.291,0.303,0.241,0.272,0.316,0.329,0.385,0.332,0.336,0.348,0.344,0,1,0,0,0,1,0
0.557,0.523,0.51,0.513,0.615,0.58,0.423,0.277,0.256,0.459,0.465,0.574,0.563,0.391,0.283,0.147,0.187,0.173,0.256,0.344,0.444,0.514,0.475,0.453,0.49,0.524,0.566,0.407,0.419,0.511,0.578,0.568,0.53,0.516,0.521,0.515,0.483,0.511,0.5,0.512,0,1,0,0,0,1,0
0.364,0.309,0.2,0.09,0.067,0.152,0.226,0.27,0.305,0.213,0.071,0.142,0.19,0.156,0.186,0.167,0.257,0.218,0.142,0.184,0.224,0.398,0.409,0.363,0.358,0.209,0.191,0.042,0.027,0.176,0.3,0.301,0.254,0.209,0.239,0.32,0.353,0.422,0.456,0.456,0,1,0,0,0,1,0
0.267,0.294,0.263,0.286,0.318,0.357,0.28,0.244,0.326,0.246,0.097,0.221,0.274,0.194,0.178,0.037,0.039,0.138,0.221,0.227,0.264,0.237,0.26,0.315,0.361,0.383,0.412,0.217,0.135,0.09,0.171,0.209,0.249,0.41,0.451,0.507,0.53,0.597,0.613,0.66,0,1,0,0,0,1,0
0.318,0.286,0.236,0.239,0.314,0.364,0.222,0.125,0.14,0.148,0.108,0.175,0.19,0.066,0.059,0.127,0.155,0.135,0.125,0.057,0.078,0.092,0.066,0.045,0.08,0.174,0.232,0.171,0.119,0.165,0.251,0.255,0.216,0.177,0.259,0.389,0.44,0.453,0.442,0.34,0,1,0,0,0,1,0
0.267,0.256,0.179,0.222,0.194,0.186,0.118,0.093,0.242,0.303,0.242,0.29,0.334,0.284,0.283,0.25,0.257,0.246,0.263,0.254,0.22,0.157,0.202,0.109,0.184,0.28,0.257,0.228,0.154,0.133,0.171,0.148,0.198,0.322,0.446,0.515,0.5,0.481,0.461,0.428,0,1,0,0,0,1,0
0.375,0.363,0.287,0.198,0.124,0.115,0.115,0.119,0.291,0.381,0.264,0.482,0.605,0.544,0.599,0.44,0.345,0.304,0.285,0.227,0.186,0.197,0.211,0.21,0.292,0.318,0.301,0.221,0.269,0.324,0.382,0.333,0.293,0.301,0.409,0.491,0.5,0.534,0.525,0.508,0,1,0,0,0,1,0
0.358,0.317,0.29,0.265,0.324,0.394,0.341,0.367,0.481,0.455,0.379,0.449,0.422,0.341,0.26,0.08,0.099,0.138,0.125,0.221,0.251,0.241,0.293,0.277,0.323,0.379,0.408,0.335,0.254,0.338,0.48,0.49,0.538,0.581,0.404,0.283,0.145,0.011,0.0,0.0,0,1,0,0,0,1,0
0.619,0.557,0.469,0.382,0.348,0.494,0.434,0.531,0.698,0.803,0.714,0.736,0.738,0.644,0.743,0.523,0.405,0.367,0.388,0.402,0.536,0.582,0.603,0.562,0.472,0.437,0.441,0.403,0.469,0.543,0.557,0.533,0.343,0.189,0.085,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0
0.295,0.248,0.209,0.274,0.348,0.439,0.358,0.305,0.351,0.393,0.283,0.304,0.38,0.316,0.428,0.39,0.368,0.325,0.313,0.284,0.342,0.365,0.364,0.315,0.306,0.338,0.324,0.255,0.223,0.295,0.343,0.272,0.296,0.257,0.212,0.185,0.057,0.0,0.0,0.0,0,1,0,0,0,1,0
0.659,0.557,0.478,0.356,0.361,0.565,0.613,0.633,0.73,0.73,0.509,0.521,0.488,0.362,0.454,0.437,0.576,0.668,0.648,0.556,0.563,0.49,0.45,0.427,0.5,0.608,0.676,0.471,0.358,0.266,0.294,0.33,0.269,0.381,0.451,0.467,0.485,0.498,0.478,0.496,0,1,0,0,0,1,0
0.392,0.313,0.194,0.201,0.214,0.32,0.312,0.244,0.404,0.455,0.283,0.271,0.193,0.056,0.126,0.157,0.178,0.235,0.306,0.369,0.424,0.434,0.364,0.161,0.163,0.235,0.331,0.437,0.558,0.568,0.523,0.377,0.299,0.345,0.399,0.502,0.545,0.543,0.552,0.54,0,1,0,0,0,1,0
0.648,0.58,0.546,0.411,0.425,0.431,0.323,0.354,0.502,0.594,0.353,0.287,0.34,0.312,0.435,0.393,0.391,0.419,0.502,0.547,0.593,0.55,0.397,0.24,0.219,0.322,0.445,0.452,0.469,0.392,0.379,0.354,0.32,0.372,0.501,0.563,0.583,0.638,0.613,0.584,0,1,0,0,0,1,0
0.415,0.42,0.424,0.464,0.522,0.416,0.222,0.093,0.182,0.451,0.472,0.574,0.539,0.472,0.513,0.517,0.658,0.644,0.562,0.444,0.39,0.378,0.467,0.333,0.396,0.437,0.467,0.449,0.323,0.223,0.208,0.13,0.124,0.192,0.319,0.417,0.46,0.524,0.528,0.54,0,1,0,0,0,1,0
0.659,0.599,0.54,0.464,0.478,0.517,0.412,0.334,0.488,0.594,0.387,0.469,0.545,0.472,0.617,0.557,0.411,0.315,0.253,0.166,0.22,0.309,0.401,0.367,0.358,0.309,0.254,0.236,0.304,0.457,0.55,0.467,0.494,0.555,0.586,0.589,0.54,0.504,0.461,0.488,0,1,0,0,0,0,1
0.312,0.263,0.212,0.23,0.264,0.401,0.308,0.251,0.361,0.455,0.435,0.607,0.681,0.562,0.688,0.507,0.464,0.453,0.409,0.341,0.322,0.406,0.38,0.375,0.417,0.36,0.423,0.346,0.331,0.403,0.391,0.357,0.373,0.434,0.506,0.559,0.562,0.565,0.555,0.536,0,1,0,0,0,0,1
0.256,0.279,0.433,0.496,0.512,0.58,0.312,0.251,0.456,0.447,0.286,0.353,0.343,0.369,0.558,0.52,0.526,0.45,0.342,0.278,0.264,0.333,0.285,0.236,0.337,0.383,0.496,0.395,0.292,0.284,0.272,0.275,0.308,0.307,0.392,0.433,0.451,0.468,0.453,0.436,0,1,0,0,0,0,1
0.42,0.328,0.296,0.219,0.201,0.242,0.179,0.248,0.393,0.549,0.465,0.531,0.599,0.547,0.584,0.453,0.339,0.315,0.345,0.353,0.363,0.285,0.186,0.165,0.271,0.392,0.526,0.437,0.462,0.457,0.462,0.455,0.485,0.575,0.641,0.657,0.63,0.599,0.569,0.532,0,1,0,0,0,0,1
0.352,0.286,0.242,0.265,0.338,0.461,0.409,0.36,0.463,0.525,0.532,0.505,0.458,0.409,0.353,0.343,0.431,0.571,0.626,0.553,0.566,0.546,0.442,0.404,0.538,0.54,0.643,0.635,0.565,0.522,0.508,0.429,0.426,0.475,0.574,0.639,0.653,0.519,0.464,0.36,0,1,0,0,0,0,1
0.568,0.538,0.481,0.487,0.569,0.606,0.498,0.338,0.396,0.488,0.439,0.578,0.62,0.519,0.513,0.433,0.454,0.433,0.423,0.272,0.21,0.249,0.376,0.461,0.503,0.572,0.669,0.677,0.569,0.504,0.431,0.252,0.308,0.398,0.486,0.585,0.615,0.621,0.605,0.612,0,1,0,0,0,0,1
0.528,0.466,0.406,0.414,0.445,0.535,0.434,0.444,0.537,0.566,0.543,0.587,0.602,0.616,0.68,0.503,0.487,0.318,0.31,0.323,0.342,0.542,0.459,0.322,0.372,0.309,0.46,0.46,0.481,0.586,0.541,0.467,0.399,0.419,0.484,0.533,0.596,0.614,0.602,0.604,0,1,0,0,0,0,1
0.528,0.435,0.376,0.461,0.525,0.561,0.491,0.405,0.526,0.738,0.595,0.594,0.557,0.403,0.428,0.37,0.418,0.464,0.448,0.284,0.214,0.221,0.269,0.243,0.316,0.363,0.426,0.46,0.346,0.353,0.321,0.22,0.302,0.363,0.459,0.578,0.566,0.545,0.55,0.468,0,1,0,0,0,0,1
0.33,0.321,0.307,0.332,0.351,0.442,0.38,0.37,0.519,0.545,0.357,0.337,0.334,0.288,0.405,0.41,0.441,0.412,0.345,0.308,0.308,0.337,0.326,0.285,0.316,0.267,0.349,0.312,0.312,0.464,0.505,0.42,0.438,0.454,0.474,0.526,0.509,0.534,0.528,0.52,0,1,0,0,0,0,1
0.443,0.447,0.46,0.466,0.528,0.561,0.452,0.395,0.519,0.557,0.383,0.389,0.358,0.344,0.465,0.417,0.484,0.443,0.359,0.35,0.397,0.51,0.665,0.517,0.406,0.328,0.246,0.255,0.212,0.23,0.281,0.249,0.331,0.437,0.514,0.498,0.468,0.44,0.37,0.384,0,1,0,0,0,0,1
0.261,0.26,0.218,0.242,0.348,0.331,0.312,0.293,0.34,0.369,0.227,0.327,0.431,0.419,0.513,0.417,0.349,0.322,0.274,0.239,0.241,0.241,0.219,0.206,0.285,0.373,0.478,0.407,0.269,0.234,0.19,0.075,0.074,0.133,0.242,0.328,0.336,0.356,0.359,0.38,0,1,0,0,0,0,1
0.364,0.336,0.278,0.338,0.435,0.55,0.584,0.46,0.6,0.734,0.55,0.657,0.642,0.591,0.799,0.773,0.714,0.734,0.619,0.414,0.427,0.446,0.479,0.506,0.667,0.646,0.776,0.703,0.596,0.576,0.526,0.458,0.488,0.543,0.589,0.539,0.364,0.231,0.083,0.0,0,1,0,0,0,0,1
0.347,0.313,0.236,0.178,0.237,0.238,0.211,0.293,0.256,0.361,0.357,0.38,0.521,0.453,0.428,0.333,0.299,0.377,0.448,0.36,0.292,0.161,0.14,0.228,0.309,0.338,0.32,0.262,0.35,0.45,0.48,0.446,0.441,0.552,0.646,0.689,0.619,0.433,0.318,0.152,0,1,0,0,0,0,1
0.477,0.412,0.34,0.394,0.472,0.468,0.294,0.096,0.0,0.115,0.283,0.66,0.919,0.931,0.963,0.6,0.431,0.356,0.42,0.438,0.478,0.534,0.599,0.472,0.465,0.482,0.529,0.555,0.569,0.568,0.526,0.467,0.512,0.622,0.599,0.467,0.3,0.119,0.0,0.0,0,1,0,0,0,0,1
0.301,0.24,0.146,0.146,0.224,0.323,0.358,0.379,0.428,0.529,0.32,0.32,0.346,0.212,0.32,0.31,0.375,0.588,0.609,0.526,0.498,0.398,0.393,0.36,0.406,0.383,0.449,0.357,0.288,0.331,0.336,0.293,0.405,0.466,0.526,0.576,0.519,0.509,0.486,0.484,0,1,0,0,0,0,1
0.205,0.176,0.104,0.105,0.114,0.134,0.265,0.296,0.379,0.348,0.004,0.0,0.0,0.0,0.1,0.167,0.207,0.173,0.132,0.121,0.132,0.137,0.124,0.086,0.097,0.167,0.261,0.205,0.158,0.065,0.031,0.006,0.077,0.224,0.339,0.42,0.421,0.425,0.434,0.404,0,0,1,0,0,1,0
0.233,0.202,0.173,0.152,0.184,0.32,0.312,0.312,0.407,0.332,0.104,0.135,0.16,0.156,0.23,0.22,0.227,0.152,0.135,0.199,0.336,0.398,0.517,0.498,0.503,0.617,0.673,0.536,0.408,0.32,0.315,0.252,0.272,0.289,0.292,0.348,0.3,0.295,0.301,0.284,0,0,1,0,0,1,0
0.267,0.229,0.194,0.262,0.398,0.42,0.308,0.17,0.151,0.254,0.238,0.33,0.355,0.259,0.23,0.157,0.181,0.135,0.125,0.13,0.129,0.169,0.202,0.33,0.431,0.424,0.419,0.19,0.108,0.194,0.245,0.252,0.263,0.304,0.416,0.465,0.451,0.448,0.428,0.404,0,0,1,0,0,1,0
0.176,0.202,0.119,0.076,0.1,0.178,0.237,0.273,0.302,0.205,0.074,0.129,0.172,0.125,0.16,0.19,0.273,0.256,0.139,0.127,0.122,0.273,0.322,0.322,0.326,0.203,0.176,0.011,0.0,0.079,0.196,0.209,0.157,0.156,0.204,0.283,0.321,0.392,0.431,0.44,0,0,1,0,0,1,0
0.261,0.206,0.167,0.184,0.217,0.335,0.269,0.209,0.256,0.16,0.063,0.221,0.295,0.216,0.19,0.04,0.033,0.107,0.139,0.112,0.115,0.092,0.269,0.442,0.507,0.479,0.434,0.179,0.081,0.072,0.131,0.174,0.216,0.389,0.446,0.491,0.496,0.545,0.55,0.588,0,0,1,0,0,1,0
0.403,0.397,0.325,0.292,0.328,0.264,0.118,0.058,0.067,0.115,0.071,0.142,0.166,0.047,0.048,0.117,0.158,0.145,0.121,0.066,0.081,0.088,0.062,0.011,0.042,0.151,0.21,0.156,0.123,0.176,0.235,0.209,0.183,0.127,0.209,0.352,0.374,0.39,0.401,0.312,0,0,1,0,0,1,0
0.182,0.176,0.128,0.166,0.157,0.164,0.082,0.055,0.249,0.266,0.208,0.314,0.373,0.347,0.398,0.36,0.306,0.284,0.253,0.218,0.169,0.08,0.14,0.034,0.056,0.141,0.081,0.046,0.042,0.05,0.101,0.099,0.145,0.289,0.399,0.435,0.398,0.358,0.351,0.344,0,0,1,0,0,1,0
0.256,0.275,0.215,0.134,0.067,0.011,0.039,0.074,0.242,0.279,0.201,0.472,0.566,0.553,0.565,0.37,0.326,0.294,0.256,0.166,0.129,0.145,0.194,0.206,0.274,0.302,0.272,0.19,0.192,0.241,0.324,0.33,0.379,0.383,0.429,0.489,0.443,0.491,0.514,0.496,0,0,1,0,0,1,0
0.256,0.252,0.245,0.233,0.304,0.361,0.283,0.305,0.418,0.377,0.29,0.373,0.37,0.3,0.23,0.05,0.053,0.069,0.064,0.181,0.186,0.165,0.202,0.184,0.253,0.315,0.371,0.327,0.277,0.32,0.489,0.49,0.524,0.558,0.362,0.239,0.111,0.015,0.0,0.0,0,0,1,0,0,1,0
0.267,0.267,0.224,0.175,0.201,0.171,0.115,0.26,0.418,0.508,0.368,0.327,0.328,0.356,0.517,0.433,0.388,0.367,0.377,0.372,0.444,0.406,0.331,0.352,0.347,0.367,0.397,0.35,0.369,0.421,0.422,0.313,0.157,0.035,0.017,0.004,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0
0.085,0.076,0.087,0.155,0.291,0.383,0.254,0.199,0.27,0.291,0.238,0.251,0.256,0.184,0.23,0.207,0.217,0.187,0.164,0.175,0.224,0.205,0.165,0.157,0.208,0.277,0.287,0.228,0.246,0.32,0.388,0.304,0.246,0.171,0.132,0.128,0.032,0.0,0.0,0.0,0,0,1,0,0,1,0
0.324,0.302,0.299,0.239,0.274,0.431,0.301,0.341,0.453,0.475,0.454,0.548,0.515,0.409,0.584,0.613,0.803,0.851,0.808,0.677,0.685,0.703,0.661,0.652,0.684,0.833,0.904,0.601,0.45,0.252,0.281,0.342,0.275,0.375,0.401,0.404,0.436,0.442,0.436,0.436,0,0,1,0,0,1,0
0.227,0.183,0.096,0.114,0.161,0.275,0.254,0.164,0.284,0.291,0.149,0.208,0.181,0.069,0.13,0.123,0.118,0.135,0.149,0.19,0.237,0.177,0.087,0.011,0.024,0.09,0.118,0.125,0.154,0.227,0.278,0.22,0.207,0.233,0.312,0.376,0.345,0.369,0.365,0.348,0,0,1,0,0,1,0
0.057,0.099,0.149,0.233,0.274,0.316,0.24,0.277,0.439,0.475,0.223,0.168,0.181,0.25,0.42,0.457,0.533,0.561,0.626,0.589,0.654,0.578,0.355,0.221,0.205,0.28,0.371,0.319,0.285,0.198,0.202,0.157,0.107,0.153,0.329,0.463,0.483,0.5,0.464,0.36,0,0,1,0,0,1,0
0.136,0.21,0.272,0.373,0.472,0.387,0.14,0.01,0.077,0.311,0.309,0.393,0.398,0.337,0.331,0.29,0.336,0.194,0.157,0.16,0.142,0.157,0.252,0.213,0.351,0.399,0.426,0.384,0.246,0.162,0.162,0.087,0.08,0.215,0.319,0.385,0.394,0.392,0.392,0.416,0,0,1,0,0,1,0
0.29,0.244,0.215,0.236,0.217,0.327,0.301,0.248,0.393,0.406,0.212,0.337,0.476,0.447,0.584,0.5,0.342,0.242,0.149,0.063,0.108,0.189,0.298,0.285,0.25,0.186,0.121,0.103,0.112,0.183,0.291,0.252,0.293,0.416,0.459,0.467,0.443,0.397,0.37,0.388,0,0,1,0,0,0,1
0.25,0.183,0.152,0.21,0.221,0.372,0.28,0.203,0.354,0.414,0.416,0.541,0.642,0.541,0.602,0.44,0.342,0.311,0.235,0.19,0.169,0.193,0.202,0.262,0.326,0.36,0.438,0.373,0.308,0.313,0.333,0.296,0.361,0.434,0.471,0.53,0.528,0.506,0.519,0.476,0,0,1,0,0,0,1
0.21,0.271,0.421,0.531,0.569,0.576,0.308,0.219,0.382,0.402,0.253,0.277,0.283,0.294,0.472,0.487,0.546,0.505,0.395,0.308,0.295,0.365,0.318,0.213,0.278,0.283,0.36,0.323,0.258,0.281,0.303,0.29,0.302,0.304,0.379,0.437,0.419,0.427,0.403,0.352,0,0,1,0,0,0,1
