class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,airport,car,restaurant,street,train,man,woman
0.296,0.27,0.118,0.082,0.195,0.261,0.0,0.149,0.296,0.299,0.259,0.171,0.205,0.383,0.366,0.391,0.369,0.483,0.427,0.418,0.432,0.293,0.203,0.25,0.388,0.544,0.508,0.462,0.659,0.46,0.285,0.126,0.072,0.22,0.202,0.227,0.635,0.557,0.575,0.649,1,0,0,0,0,0,1
0.147,0.17,0.206,0.228,0.275,0.472,0.538,0.655,0.761,0.577,0.516,0.643,0.639,0.609,0.398,0.874,0.916,0.737,0.229,0.401,0.523,0.511,0.282,0.103,0.234,0.405,0.602,0.752,0.763,0.318,0.286,0.175,0.148,0.158,0.18,0.251,0.601,0.562,0.528,0.0,1,0,0,0,0,0,1
0.124,0.119,0.113,0.141,0.318,0.877,0.966,0.675,0.113,0.39,0.465,0.473,0.466,0.391,0.435,0.396,0.192,0.458,0.737,0.855,0.754,0.271,0.265,0.358,0.44,0.179,0.171,0.185,0.367,0.555,0.67,0.735,0.617,0.389,0.204,0.268,0.612,0.565,0.549,0.582,1,0,0,0,0,0,1
0.15,0.143,0.122,0.138,0.228,0.428,0.418,0.121,0.0,0.339,0.421,0.813,0.934,0.943,0.881,0.594,0.232,0.424,0.578,0.634,0.347,0.236,0.301,0.514,0.58,0.465,0.363,0.236,0.364,0.312,0.336,0.403,0.417,0.369,0.236,0.274,0.624,0.606,0.0,0.0,1,0,0,0,0,0,1
0.454,0.483,0.359,0.178,0.207,0.192,0.189,0.392,0.708,0.38,0.175,0.159,0.238,0.18,0.209,0.417,0.461,0.285,0.222,0.369,0.41,0.253,0.248,0.374,0.404,0.31,0.411,0.636,0.661,0.317,0.356,0.328,0.534,0.749,0.395,0.239,0.722,0.841,0.841,0.827,0,1,0,0,0,1,0
0.495,0.527,0.466,0.402,0.514,0.574,0.507,0.442,0.467,0.389,0.361,0.315,0.22,0.185,0.378,0.533,0.362,0.266,0.249,0.387,0.507,0.297,0.487,0.634,0.679,0.429,0.438,0.605,0.533,0.25,0.439,0.554,0.526,0.389,0.215,0.112,0.583,0.571,0.552,0.598,0,1,0,0,0,1,0
0.595,0.596,0.59,0.417,0.515,0.653,0.465,0.3,0.133,0.187,0.398,0.681,0.383,0.183,0.27,0.363,0.254,0.168,0.153,0.31,0.592,0.655,0.486,0.382,0.642,0.661,0.566,0.45,0.507,0.584,0.682,0.654,0.623,0.522,0.185,0.176,0.615,0.608,0.629,0.759,0,1,0,0,0,1,0
0.387,0.384,0.304,0.16,0.119,0.089,0.218,0.31,0.333,0.243,0.176,0.143,0.12,0.114,0.223,0.63,0.606,0.448,0.316,0.33,0.241,0.414,0.578,0.231,0.173,0.217,0.284,0.266,0.263,0.244,0.361,0.409,0.39,0.252,0.06,0.057,0.584,0.642,0.633,0.668,0,1,0,0,0,1,0
0.326,0.317,0.34,0.333,0.345,0.236,0.155,0.183,0.188,0.127,0.053,0.003,0.104,0.059,0.052,0.088,0.131,0.255,0.449,0.472,0.308,0.278,0.267,0.238,0.566,0.326,0.164,0.213,0.098,0.105,0.244,0.255,0.409,0.354,0.235,0.216,0.619,0.717,0.854,0.886,0,1,0,0,0,1,0
0.544,0.467,0.287,0.207,0.278,0.432,0.232,0.145,0.075,0.113,0.258,0.131,0.09,0.073,0.161,0.086,0.095,0.173,0.14,0.142,0.009,0.0,0.051,0.084,0.206,0.133,0.194,0.265,0.268,0.206,0.266,0.405,0.308,0.107,0.041,0.166,0.645,0.676,0.534,0.526,0,1,0,0,0,1,0
0.299,0.307,0.271,0.168,0.216,0.091,0.041,0.126,0.139,0.387,0.134,0.037,0.055,0.092,0.29,0.294,0.24,0.359,0.199,0.111,0.161,0.148,0.172,0.184,0.171,0.172,0.365,0.173,0.194,0.12,0.135,0.193,0.253,0.32,0.16,0.2,0.619,0.641,0.582,0.599,0,1,0,0,0,1,0
0.415,0.395,0.359,0.337,0.514,0.49,0.72,0.782,0.61,0.451,0.441,0.386,0.452,0.586,0.591,0.579,0.334,0.315,0.364,0.328,0.302,0.25,0.411,0.492,0.53,0.489,0.487,0.338,0.38,0.431,0.475,0.456,0.391,0.397,0.179,0.212,0.647,0.674,0.671,0.68,0,1,0,0,0,1,0
0.336,0.343,0.319,0.288,0.227,0.266,0.331,0.357,0.338,0.428,0.224,0.175,0.422,0.17,0.09,0.074,0.057,0.136,0.258,0.456,0.454,0.407,0.234,0.104,0.415,0.511,0.286,0.211,0.36,0.375,0.416,0.638,0.658,0.572,0.369,0.315,0.646,0.576,0.0,0.0,0,1,0,0,0,1,0
0.497,0.657,0.602,0.56,0.651,0.624,0.681,0.499,0.386,0.561,0.707,0.81,0.642,0.545,0.554,0.587,0.4,0.354,0.388,0.491,0.502,0.402,0.539,0.423,0.526,0.362,0.416,0.457,0.565,0.539,0.564,0.641,0.618,0.618,0.557,0.431,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0
0.293,0.307,0.206,0.338,0.489,0.549,0.333,0.341,0.341,0.507,0.758,0.705,0.414,0.25,0.292,0.37,0.315,0.308,0.229,0.355,0.431,0.378,0.384,0.283,0.415,0.477,0.534,0.473,0.449,0.363,0.374,0.354,0.327,0.381,0.333,0.32,0.63,0.0,0.0,0.0,0,1,0,0,0,1,0
0.77,0.824,0.645,0.502,0.536,0.627,0.667,0.734,0.443,0.474,0.549,0.463,0.431,0.369,0.403,0.496,0.571,0.688,0.593,0.659,0.601,0.51,0.297,0.242,0.43,0.63,0.53,0.484,0.44,0.243,0.357,0.432,0.505,0.502,0.39,0.431,0.699,0.675,0.68,0.752,0,1,0,0,0,1,0
0.444,0.443,0.23,0.197,0.328,0.252,0.255,0.358,0.407,0.594,0.591,0.247,0.064,0.077,0.275,0.428,0.357,0.326,0.286,0.47,0.559,0.341,0.322,0.315,0.343,0.309,0.392,0.55,0.681,0.617,0.484,0.5,0.514,0.403,0.338,0.397,0.679,0.725,0.706,0.703,0,1,0,0,0,1,0
0.845,0.814,0.612,0.407,0.419,0.453,0.408,0.389,0.464,0.652,0.587,0.33,0.245,0.304,0.513,0.604,0.613,0.725,0.576,0.646,0.696,0.859,0.945,0.816,0.556,0.43,0.505,0.707,0.897,0.817,0.682,0.496,0.535,0.469,0.319,0.568,0.863,0.807,0.75,0.741,0,1,0,0,0,1,0
0.472,0.454,0.48,0.451,0.447,0.398,0.214,0.174,0.21,0.267,0.434,0.659,0.436,0.442,0.506,0.572,0.55,0.753,0.562,0.446,0.419,0.469,0.472,0.506,0.642,0.712,0.862,0.53,0.38,0.354,0.383,0.315,0.343,0.453,0.472,0.502,0.707,0.688,0.723,0.748,0,1,0,0,0,1,0
0.828,0.815,0.619,0.637,0.795,0.672,0.447,0.427,0.357,0.394,0.526,0.337,0.386,0.493,0.519,0.526,0.567,0.585,0.301,0.362,0.381,0.306,0.335,0.317,0.478,0.401,0.319,0.384,0.442,0.497,0.582,0.524,0.439,0.49,0.585,0.571,0.716,0.666,0.687,0.728,0,1,0,0,0,0,1
0.376,0.348,0.248,0.225,0.339,0.613,0.602,0.546,0.443,0.512,0.617,0.484,0.471,0.535,0.613,0.645,0.573,0.652,0.585,0.529,0.433,0.36,0.373,0.196,0.322,0.389,0.41,0.405,0.496,0.425,0.435,0.538,0.685,0.737,0.723,0.556,0.714,0.719,0.688,0.68,0,1,0,0,0,0,1
0.3,0.306,0.43,0.698,0.739,0.48,0.412,0.5,0.529,0.591,0.374,0.253,0.268,0.2,0.327,0.546,0.507,0.482,0.23,0.496,0.778,0.701,0.586,0.415,0.348,0.347,0.51,0.56,0.617,0.397,0.293,0.322,0.351,0.403,0.294,0.22,0.634,0.657,0.642,0.612,0,1,0,0,0,0,1
0.524,0.513,0.235,0.298,0.489,0.491,0.497,0.313,0.468,0.818,0.685,0.511,0.476,0.452,0.433,0.456,0.325,0.336,0.314,0.517,0.536,0.175,0.091,0.229,0.418,0.465,0.542,0.612,0.641,0.541,0.539,0.468,0.562,0.653,0.619,0.549,0.764,0.757,0.712,0.701,0,1,0,0,0,0,1
0.446,0.45,0.263,0.172,0.307,0.401,0.323,0.349,0.402,0.537,0.464,0.559,0.524,0.368,0.378,0.429,0.349,0.588,0.784,0.975,0.776,0.55,0.724,0.6,0.531,0.567,0.727,0.714,0.746,0.629,0.612,0.481,0.611,0.762,0.815,0.689,0.789,0.799,0.807,0.851,0,1,0,0,0,0,1
0.62,0.635,0.482,0.374,0.508,0.54,0.363,0.398,0.392,0.501,0.629,0.576,0.393,0.406,0.502,0.56,0.453,0.642,0.519,0.42,0.364,0.54,0.667,0.593,0.612,0.463,0.564,0.678,0.887,0.799,0.475,0.485,0.23,0.287,0.417,0.493,0.754,0.792,0.792,0.762,0,1,0,0,0,0,1
0.565,0.546,0.319,0.369,0.43,0.469,0.453,0.422,0.447,0.453,0.325,0.448,0.599,0.537,0.546,0.641,0.439,0.46,0.365,0.439,0.613,0.498,0.528,0.598,0.565,0.494,0.494,0.661,0.776,0.728,0.638,0.583,0.423,0.218,0.237,0.424,0.78,0.792,0.77,0.754,0,1,0,0,0,0,1
0.549,0.546,0.326,0.181,0.431,0.704,0.493,0.456,0.509,0.787,0.651,0.545,0.472,0.355,0.351,0.399,0.526,0.849,0.885,0.768,0.507,0.566,0.686,0.476,0.4,0.396,0.481,0.436,0.478,0.463,0.422,0.4,0.381,0.401,0.401,0.402,0.772,0.815,0.724,0.659,0,1,0,0,0,0,1
0.416,0.349,0.323,0.355,0.414,0.359,0.356,0.327,0.286,0.433,0.492,0.198,0.152,0.236,0.435,0.61,0.486,0.513,0.398,0.403,0.341,0.364,0.414,0.344,0.307,0.24,0.251,0.35,0.539,0.453,0.498,0.584,0.596,0.451,0.337,0.37,0.681,0.661,0.645,0.685,0,1,0,0,0,0,1
0.522,0.5,0.494,0.541,0.666,0.684,0.481,0.368,0.439,0.475,0.359,0.236,0.304,0.291,0.366,0.47,0.417,0.467,0.445,0.426,0.448,0.547,0.727,0.906,0.879,0.523,0.395,0.456,0.537,0.383,0.312,0.452,0.476,0.516,0.407,0.419,0.633,0.595,0.555,0.533,0,1,0,0,0,0,1
0.319,0.29,0.186,0.143,0.273,0.355,0.067,0.17,0.304,0.316,0.275,0.231,0.328,0.445,0.399,0.413,0.389,0.503,0.44,0.426,0.435,0.328,0.25,0.24,0.321,0.391,0.397,0.446,0.65,0.479,0.259,0.163,0.109,0.209,0.195,0.244,0.619,0.555,0.579,0.646,0,1,0,0,0,0,1
0.415,0.435,0.383,0.355,0.416,0.64,0.569,0.666,0.781,0.92,0.809,0.675,0.665,0.661,0.616,0.884,0.897,0.915,0.597,0.509,0.556,0.548,0.495,0.606,0.625,0.656,0.702,0.784,0.838,0.605,0.588,0.577,0.528,0.589,0.527,0.518,0.783,0.776,0.72,0.0,0,1,0,0,0,0,1
0.443,0.42,0.242,0.247,0.412,0.895,0.974,0.727,0.253,0.475,0.547,0.62,0.506,0.411,0.458,0.426,0.251,0.533,0.785,0.965,0.857,0.445,0.367,0.38,0.504,0.337,0.332,0.336,0.45,0.603,0.714,0.774,0.716,0.597,0.769,0.849,0.867,0.779,0.784,0.791,0,1,0,0,0,0,1
0.518,0.559,0.404,0.294,0.464,0.566,0.485,0.188,0.065,0.415,0.538,0.842,0.958,0.955,0.887,0.693,0.407,0.581,0.595,0.641,0.596,0.487,0.479,0.589,0.631,0.51,0.557,0.623,0.706,0.521,0.512,0.595,0.62,0.652,0.687,0.639,0.776,0.722,0.0,0.0,0,1,0,0,0,0,1
0.326,0.333,0.27,0.267,0.374,0.428,0.349,0.265,0.272,0.364,0.425,0.244,0.191,0.251,0.296,0.35,0.34,0.577,0.718,0.935,0.698,0.34,0.413,0.437,0.625,0.527,0.412,0.509,0.59,0.387,0.379,0.433,0.488,0.544,0.478,0.392,0.681,0.677,0.667,0.664,0,1,0,0,0,0,1
0.196,0.233,0.194,0.071,0.161,0.186,0.18,0.388,0.614,0.171,0.058,0.082,0.201,0.128,0.149,0.306,0.325,0.161,0.14,0.328,0.373,0.202,0.1,0.11,0.211,0.163,0.212,0.466,0.306,0.035,0.014,0.007,0.104,0.182,0.045,0.141,0.625,0.66,0.617,0.603,0,0,1,0,0,1,0
0.307,0.268,0.171,0.149,0.283,0.549,0.505,0.429,0.432,0.333,0.351,0.268,0.083,0.124,0.364,0.527,0.303,0.155,0.184,0.336,0.536,0.631,0.646,0.673,0.711,0.538,0.69,0.731,0.631,0.326,0.459,0.562,0.547,0.426,0.2,0.074,0.554,0.545,0.499,0.558,0,0,1,0,0,1,0
0.345,0.3,0.301,0.305,0.484,0.638,0.464,0.221,0.072,0.092,0.278,0.425,0.196,0.108,0.211,0.304,0.201,0.102,0.085,0.139,0.205,0.3,0.306,0.289,0.61,0.589,0.415,0.21,0.255,0.321,0.414,0.33,0.301,0.327,0.104,0.124,0.575,0.553,0.521,0.52,0,0,1,0,0,1,0
0.169,0.158,0.117,0.057,0.089,0.263,0.306,0.334,0.341,0.214,0.15,0.151,0.11,0.113,0.234,0.601,0.594,0.466,0.284,0.312,0.211,0.445,0.618,0.22,0.14,0.188,0.259,0.225,0.175,0.144,0.311,0.381,0.406,0.208,0.02,0.0,0.531,0.614,0.622,0.66,0,0,1,0,0,1,0
0.43,0.352,0.201,0.193,0.311,0.225,0.144,0.174,0.157,0.066,0.028,0.002,0.106,0.024,0.04,0.066,0.084,0.217,0.492,0.497,0.219,0.244,0.255,0.242,0.759,0.387,0.026,0.069,0.0,0.086,0.242,0.214,0.301,0.287,0.189,0.188,0.591,0.662,0.801,0.801,0,0,1,0,0,1,0
0.463,0.496,0.338,0.243,0.279,0.375,0.139,0.106,0.064,0.139,0.292,0.144,0.089,0.073,0.163,0.097,0.106,0.17,0.146,0.095,0.052,0.048,0.053,0.034,0.158,0.09,0.121,0.324,0.362,0.236,0.282,0.354,0.218,0.08,0.0,0.096,0.601,0.66,0.516,0.51,0,0,1,0,0,1,0
0.276,0.233,0.179,0.116,0.184,0.051,0.032,0.117,0.083,0.283,0.084,0.019,0.065,0.137,0.332,0.339,0.308,0.491,0.205,0.022,0.117,0.116,0.083,0.016,0.02,0.052,0.141,0.0,0.134,0.106,0.094,0.082,0.222,0.3,0.153,0.174,0.571,0.554,0.553,0.574,0,0,1,0,0,1,0
0.303,0.328,0.328,0.293,0.413,0.358,0.794,0.813,0.598,0.42,0.373,0.317,0.478,0.646,0.597,0.59,0.336,0.303,0.362,0.319,0.278,0.225,0.403,0.511,0.589,0.491,0.523,0.432,0.409,0.433,0.458,0.525,0.494,0.482,0.149,0.134,0.644,0.714,0.691,0.728,0,0,1,0,0,1,0
0.215,0.202,0.283,0.258,0.166,0.193,0.311,0.354,0.328,0.412,0.176,0.133,0.418,0.118,0.055,0.062,0.028,0.104,0.232,0.509,0.554,0.48,0.145,0.0,0.369,0.509,0.25,0.179,0.327,0.34,0.336,0.564,0.696,0.549,0.278,0.281,0.658,0.631,0.0,0.0,0,0,1,0,0,1,0
0.305,0.397,0.377,0.352,0.496,0.488,0.292,0.248,0.275,0.417,0.447,0.487,0.381,0.369,0.524,0.56,0.374,0.278,0.374,0.489,0.494,0.342,0.209,0.124,0.304,0.32,0.41,0.445,0.496,0.49,0.38,0.397,0.393,0.47,0.518,0.92,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0
0.374,0.157,0.083,0.335,0.497,0.571,0.308,0.322,0.298,0.491,0.761,0.665,0.383,0.165,0.252,0.342,0.276,0.23,0.185,0.308,0.383,0.365,0.375,0.203,0.369,0.496,0.561,0.513,0.458,0.432,0.51,0.503,0.374,0.276,0.128,0.082,0.507,0.0,0.0,0.0,0,0,1,0,0,1,0
0.407,0.384,0.415,0.44,0.458,0.419,0.607,0.65,0.361,0.441,0.544,0.462,0.44,0.394,0.451,0.622,0.715,0.901,0.705,0.745,0.901,0.725,0.38,0.32,0.625,0.864,0.647,0.5,0.475,0.341,0.416,0.538,0.668,0.548,0.318,0.318,0.662,0.615,0.569,0.578,0,0,1,0,0,1,0
0.318,0.306,0.082,0.152,0.284,0.192,0.239,0.351,0.384,0.56,0.543,0.175,0.002,0.053,0.265,0.428,0.311,0.188,0.211,0.403,0.369,0.246,0.237,0.082,0.101,0.18,0.22,0.208,0.3,0.316,0.344,0.469,0.509,0.341,0.163,0.197,0.622,0.614,0.587,0.608,0,0,1,0,0,1,0
0.217,0.182,0.233,0.311,0.379,0.401,0.311,0.372,0.46,0.637,0.532,0.087,0.074,0.172,0.58,0.691,0.619,0.702,0.645,0.77,0.732,0.815,0.932,0.814,0.468,0.383,0.468,0.709,0.912,0.818,0.693,0.327,0.268,0.239,0.112,0.478,0.865,0.808,0.69,0.603,0,0,1,0,0,1,0
0.179,0.165,0.297,0.408,0.416,0.352,0.105,0.024,0.052,0.123,0.463,0.609,0.32,0.406,0.461,0.482,0.264,0.261,0.204,0.173,0.144,0.336,0.406,0.434,0.641,0.751,0.913,0.51,0.35,0.296,0.323,0.165,0.271,0.393,0.394,0.446,0.661,0.601,0.627,0.633,0,0,1,0,0,1,0
0.37,0.363,0.294,0.453,0.642,0.46,0.395,0.415,0.341,0.221,0.335,0.251,0.356,0.459,0.49,0.469,0.521,0.543,0.206,0.153,0.152,0.198,0.276,0.206,0.223,0.121,0.162,0.279,0.347,0.283,0.335,0.381,0.354,0.382,0.518,0.501,0.653,0.589,0.623,0.602,0,0,1,0,0,0,1
0.248,0.253,0.201,0.211,0.361,0.658,0.62,0.539,0.439,0.513,0.596,0.465,0.447,0.516,0.639,0.608,0.461,0.534,0.543,0.497,0.389,0.302,0.269,0.125,0.261,0.367,0.389,0.378,0.502,0.452,0.463,0.554,0.698,0.751,0.737,0.541,0.681,0.739,0.71,0.665,0,0,1,0,0,0,1
0.236,0.211,0.455,0.804,0.839,0.498,0.371,0.468,0.521,0.592,0.399,0.286,0.263,0.145,0.304,0.557,0.526,0.52,0.288,0.515,0.801,0.744,0.695,0.461,0.367,0.317,0.432,0.514,0.605,0.476,0.444,0.377,0.373,0.429,0.343,0.271,0.621,0.63,0.615,0.601,0,0,1,0,0,0,1
