class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,airport,car,restaurant,street,train,man,woman
0.96,0.441,0.429,0.646,0.753,0.636,0.511,1.0,0.692,0.732,0.093,0.648,0.273,0,1,0,0,0,1,0
0.843,0.663,0.446,0.717,0.446,0.679,0.758,0.615,0.708,0.477,0.562,0.435,0.471,0,1,0,0,0,1,0
0.982,0.434,0.646,0.464,0.717,0.664,0.672,0.707,0.695,0.477,0.344,0.759,0.465,0,1,0,0,0,1,0
0.694,0.612,0.726,0.488,0.601,0.742,0.682,0.586,0.704,0.213,0.566,0.625,0.547,0,1,0,0,0,1,0
0.913,0.369,0.823,0.744,0.382,0.705,0.764,0.715,0.264,0.531,0.291,0.583,0.423,0,1,0,0,0,1,0
0.843,0.516,0.879,0.333,0.518,0.489,0.895,0.598,0.673,0.714,0.336,1.0,0.444,0,1,0,0,0,1,0
0.998,0.425,0.425,0.503,0.724,0.735,0.747,0.805,0.588,0.695,0.365,0.524,0.346,0,1,0,0,0,0,1
1.0,0.51,0.371,0.439,0.632,0.92,0.871,0.553,0.905,0.192,0.062,0.643,0.15,0,1,0,0,0,0,1
0.845,0.626,0.458,0.514,0.578,0.807,0.636,0.718,0.607,0.454,0.318,0.447,0.446,0,1,0,0,0,0,1
0.796,0.507,0.382,0.658,0.484,0.779,0.694,0.785,0.476,0.619,0.356,0.519,0.407,0,1,0,0,0,0,1
0.857,0.386,0.636,0.62,0.597,0.736,0.724,0.691,0.625,0.677,0.178,0.318,0.303,0,1,0,0,0,0,1
0.955,0.466,0.489,0.539,0.579,0.763,0.813,0.721,0.635,0.666,0.112,0.637,0.365,0,1,0,0,0,0,1
0.894,0.471,0.483,0.459,0.705,0.814,0.714,0.779,0.502,0.747,0.227,0.572,0.347,0,1,0,0,0,0,1
0.959,0.458,0.587,0.457,0.542,0.663,0.837,0.804,0.474,0.81,0.238,0.614,0.483,0,1,0,0,0,0,1
0.961,0.643,0.287,0.587,0.728,0.676,0.867,0.762,0.845,0.567,0.299,0.357,0.531,0,1,0,0,0,0,1
0.835,0.567,0.592,0.289,0.873,0.855,0.881,0.704,0.662,0.512,0.58,0.491,0.578,0,1,0,0,0,0,1
0.749,0.717,0.406,0.336,0.778,0.778,0.737,0.651,0.807,0.473,0.512,0.59,0.42,0,1,0,0,0,0,1
0.804,0.341,0.767,0.514,0.515,1.0,0.808,0.675,0.557,0.587,0.044,0.542,0.252,0,1,0,0,0,0,1
0.766,0.404,0.612,0.485,0.647,0.835,0.675,0.682,0.589,0.766,0.094,0.532,0.183,0,1,0,0,0,0,1
0.701,0.376,0.813,0.409,0.541,0.893,0.917,0.674,0.427,0.49,0.092,0.686,0.455,0,1,0,0,0,0,1
0.829,0.599,0.484,0.459,0.663,0.843,1.0,0.65,0.955,0.268,0.162,0.441,0.437,0,1,0,0,0,0,1
0.017,0.762,0.51,0.508,0.721,0.292,0.659,0.297,0.396,0.441,0.493,0.244,0.586,0,0,1,0,0,1,0
0.616,0.543,0.428,0.564,0.383,0.337,0.35,0.56,0.453,0.447,0.501,0.485,0.586,0,0,1,0,0,1,0
0.513,0.642,0.408,0.246,0.66,0.348,0.577,0.481,0.645,0.285,0.435,0.548,0.452,0,0,1,0,0,1,0
0.119,0.663,0.497,0.349,0.681,0.42,0.431,0.273,0.393,0.373,0.64,0.771,0.597,0,0,1,0,0,1,0
0.412,0.753,0.336,0.103,0.742,0.305,0.494,0.279,0.402,0.248,0.687,0.544,0.602,0,0,1,0,0,1,0
0.301,0.733,0.39,0.389,0.711,0.274,0.504,0.321,0.575,0.161,0.5,0.452,0.765,0,0,1,0,0,1,0
0.248,0.841,0.387,0.106,0.866,0.28,0.366,0.251,1.0,0.366,0.752,0.592,0.631,0,0,1,0,0,1,0
0.437,0.486,0.596,0.508,0.63,0.549,0.144,0.42,0.263,0.346,0.781,0.463,0.473,0,0,1,0,0,1,0
0.286,0.682,0.447,0.044,0.815,0.466,0.462,0.526,0.444,0.192,0.899,0.345,0.402,0,0,1,0,0,1,0
0.619,0.562,0.149,0.474,0.705,0.242,0.324,0.76,0.609,0.678,0.251,0.524,0.363,0,0,1,0,0,1,0
0.424,0.542,0.457,0.609,0.409,0.324,0.394,0.285,0.824,0.712,0.689,0.305,0.471,0,0,1,0,0,1,0
0.693,0.339,0.586,0.312,0.768,0.409,0.392,0.488,0.573,0.562,0.287,0.622,0.463,0,0,1,0,0,1,0
0.385,0.659,0.647,0.358,0.62,0.357,0.444,0.312,0.73,0.193,0.77,0.434,0.559,0,0,1,0,0,1,0
0.586,0.438,0.738,0.608,0.387,0.354,0.558,0.543,0.254,0.55,0.521,0.421,0.455,0,0,1,0,0,1,0
0.429,0.602,0.753,0.173,0.559,0.0,0.732,0.396,0.84,0.817,0.277,0.925,0.497,0,0,1,0,0,1,0
0.613,0.545,0.185,0.215,0.665,0.288,0.49,0.608,0.468,0.784,0.609,0.446,0.504,0,0,1,0,0,0,1
0.843,0.462,0.365,0.341,0.595,0.641,0.599,0.258,0.804,0.308,0.205,0.754,0.182,0,0,1,0,0,0,1
0.647,0.47,0.422,0.435,0.41,0.446,0.326,0.485,0.514,0.547,0.253,0.42,0.48,0,0,1,0,0,0,1
0.542,0.462,0.231,0.454,0.412,0.413,0.433,0.534,0.583,0.706,0.495,0.387,0.473,0,0,1,0,0,0,1
0.552,0.524,0.372,0.242,0.559,0.425,0.518,0.386,0.571,0.561,0.455,0.25,0.424,0,0,1,0,0,0,1
0.458,0.488,0.451,0.392,0.587,0.364,0.527,0.448,0.692,0.781,0.159,0.485,0.483,0,0,1,0,0,0,1
0.523,0.546,0.322,0.207,0.701,0.388,0.401,0.618,0.489,0.816,0.331,0.311,0.494,0,0,1,0,0,0,1
0.471,0.434,0.413,0.196,0.57,0.255,0.498,0.59,0.424,0.999,0.234,0.427,0.588,0,0,1,0,0,0,1
0.587,0.602,0.073,0.19,0.648,0.305,0.55,0.583,0.875,0.801,0.423,0.324,0.561,0,0,1,0,0,0,1
0.419,0.5,0.512,0.015,0.877,0.486,0.597,0.496,0.654,0.679,0.785,0.441,0.642,0,0,1,0,0,0,1
0.459,0.54,0.31,0.116,0.636,0.414,0.381,0.397,0.692,0.563,0.562,0.588,0.446,0,0,1,0,0,0,1
0.65,0.245,0.523,0.357,0.423,0.694,0.486,0.485,0.408,0.57,0.163,0.639,0.36,0,0,1,0,0,0,1
0.439,0.488,0.406,0.068,0.586,0.539,0.487,0.404,0.279,0.53,0.243,0.578,0.426,0,0,1,0,0,0,1
0.279,0.392,0.472,0.0,0.564,0.462,0.752,0.518,0.404,0.505,0.047,0.652,0.691,0,0,1,0,0,0,1
0.411,0.492,0.352,0.089,0.594,0.495,0.712,0.376,0.978,0.384,0.399,0.567,0.536,0,0,1,0,0,0,1
0.0,0.845,0.574,0.82,0.995,0.404,0.63,0.215,0.403,0.337,0.55,0.259,0.567,0,0,0,1,0,1,0
0.835,0.426,0.542,0.901,0.341,0.664,0.213,0.699,0.558,0.183,0.646,0.151,0.606,0,0,0,1,0,1,0
0.702,0.467,0.249,0.546,0.919,0.514,0.527,0.434,0.447,0.499,0.518,0.362,0.278,0,0,0,1,0,1,0
0.499,0.338,0.508,0.779,0.601,0.438,0.39,0.345,0.0,0.61,0.359,0.63,0.396,0,0,0,1,0,1,0
0.773,0.5,0.588,0.631,0.74,0.665,0.283,0.588,0.348,0.244,0.877,0.206,0.544,0,0,0,1,0,1,0
0.458,0.594,0.209,0.387,0.739,0.481,0.42,0.294,0.6,0.131,0.538,0.357,0.7,0,0,0,1,0,1,0
0.715,0.669,0.347,0.396,0.684,0.587,0.401,0.295,0.868,0.211,0.543,0.437,0.369,0,0,0,1,0,1,0
0.651,0.476,0.603,0.822,0.651,0.657,0.209,0.269,0.138,0.295,0.374,0.298,0.34,0,0,0,1,0,1,0
0.526,0.511,0.426,0.403,0.771,0.822,0.618,0.341,0.359,0.075,0.921,0.61,0.335,0,0,0,1,0,1,0
0.777,0.374,0.0,0.496,0.652,0.459,0.289,0.657,0.583,0.582,0.166,0.467,0.252,0,0,0,1,0,1,0
0.793,0.31,0.213,0.802,0.593,0.425,0.309,0.309,0.401,0.621,0.644,0.315,0.139,0,0,0,1,0,1,0
0.858,0.397,0.245,0.244,0.834,0.609,0.498,0.371,0.63,0.453,0.566,0.66,0.38,0,0,0,1,0,1,0
0.595,0.315,0.695,0.699,0.544,0.399,0.334,0.336,0.527,0.466,0.411,0.426,0.363,0,0,0,1,0,1,0
0.689,0.259,0.849,0.936,0.372,0.664,0.365,0.764,0.253,0.406,0.623,0.061,0.501,0,0,0,1,0,1,0
0.801,0.422,0.807,0.486,0.721,0.453,0.567,0.543,0.6,0.861,0.41,0.673,0.376,0,0,0,1,0,1,0
0.66,0.282,0.172,0.645,0.858,0.557,0.376,0.69,0.636,0.753,0.767,0.18,0.574,0,0,0,1,0,0,1
0.888,0.069,0.244,0.526,0.545,0.653,0.54,0.397,0.426,0.545,0.0,0.522,0.0,0,0,0,1,0,0,1
0.708,0.444,0.374,0.565,0.567,0.623,0.287,0.345,0.253,0.29,0.046,0.272,0.345,0,0,0,1,0,0,1
0.566,0.69,0.319,0.731,0.656,0.593,0.43,0.268,0.243,0.374,0.251,0.149,0.475,0,0,0,1,0,0,1
0.618,0.558,0.668,0.732,0.826,0.62,0.61,0.388,0.495,0.476,0.292,0.231,0.426,0,0,0,1,0,0,1
0.933,0.248,0.44,0.852,0.643,0.667,0.395,0.754,0.63,0.646,0.404,0.16,0.386,0,0,0,1,0,0,1
0.775,0.375,0.044,0.394,0.764,0.713,0.512,0.497,0.553,0.785,0.297,0.446,0.263,0,0,0,1,0,0,1
0.834,0.363,0.655,0.639,0.468,0.705,0.389,0.816,0.579,0.54,0.506,0.0,0.559,0,0,0,1,0,0,1
0.787,0.617,0.396,0.776,0.852,0.577,0.696,0.676,0.711,0.734,0.38,0.27,0.477,0,0,0,1,0,0,1
0.61,0.217,0.414,0.493,1.0,0.661,0.444,0.399,0.472,0.674,0.761,0.366,0.552,0,0,0,1,0,0,1
0.724,0.438,0.529,0.584,0.696,0.867,0.268,0.719,0.757,0.266,0.789,0.082,0.404,0,0,0,1,0,0,1
0.512,0.522,0.802,0.586,0.734,0.848,0.614,0.349,0.328,0.45,0.181,0.432,0.314,0,0,0,1,0,0,1
0.519,0.514,0.635,0.59,0.894,0.787,0.608,0.524,0.419,0.567,0.201,0.432,0.335,0,0,0,1,0,0,1
0.49,0.204,0.437,0.388,0.656,0.547,0.593,0.423,0.248,0.565,0.151,0.35,0.387,0,0,0,1,0,0,1
0.805,0.266,0.296,0.54,0.743,0.705,0.612,0.427,0.685,0.516,0.214,0.275,0.309,0,0,0,1,0,0,1
0.362,0.238,0.731,0.837,0.232,0.597,0.151,0.149,0.458,0.43,0.756,0.403,0.247,0,0,0,0,1,1,0
0.841,0.177,0.529,0.88,0.0,0.581,0.172,0.43,0.662,0.413,0.709,0.703,0.43,0,0,0,0,1,1,0
0.753,0.182,0.655,0.643,0.289,0.753,0.291,0.402,0.628,0.451,0.73,0.649,0.27,0,0,0,0,1,1,0
0.48,0.313,0.794,0.752,0.206,0.682,0.193,0.22,0.387,0.364,0.591,0.727,0.399,0,0,0,0,1,1,0
0.689,0.314,0.575,0.479,0.241,0.621,0.198,0.265,0.562,0.414,0.748,0.726,0.457,0,0,0,0,1,1,0
0.541,0.296,0.638,0.713,0.285,0.617,0.164,0.255,0.67,0.241,0.781,0.544,0.586,0,0,0,0,1,1,0
0.651,0.365,0.668,0.513,0.301,0.672,0.12,0.287,0.861,0.352,0.751,0.613,0.395,0,0,0,0,1,1,0
0.729,0.202,0.79,0.855,0.168,0.659,0.0,0.352,0.385,0.534,0.625,0.538,0.226,0,0,0,0,1,1,0
0.498,0.189,0.813,0.691,0.292,0.728,0.21,0.374,0.494,0.36,0.895,0.687,0.248,0,0,0,0,1,1,0
0.84,0.1,0.433,0.806,0.304,0.544,0.03,0.656,0.714,0.616,0.532,0.662,0.176,0,0,0,0,1,1,0
0.77,0.074,0.646,1.0,0.075,0.596,0.103,0.32,0.464,0.795,0.708,0.525,0.168,0,0,0,0,1,1,0
0.737,0.156,0.743,0.581,0.282,0.645,0.244,0.421,0.894,0.393,0.773,0.737,0.365,0,0,0,0,1,1,0
0.504,0.225,0.812,0.771,0.139,0.658,0.197,0.248,0.871,0.254,0.826,0.684,0.447,0,0,0,0,1,1,0
0.773,0.14,0.84,0.88,0.042,0.53,0.336,0.483,0.411,0.555,0.493,0.535,0.393,0,0,0,0,1,1,0
0.757,0.12,1.0,0.622,0.044,0.437,0.331,0.367,0.914,0.767,0.659,0.786,0.356,0,0,0,0,1,1,0
0.741,0.065,0.381,0.541,0.162,0.667,0.236,0.461,0.814,0.583,0.856,0.584,0.342,0,0,0,0,1,0,1
0.931,0.043,0.389,0.436,0.145,0.751,0.273,0.282,0.726,0.43,0.396,0.723,0.216,0,0,0,0,1,0,1
0.739,0.166,0.56,0.635,0.139,0.739,0.167,0.428,0.486,0.417,0.401,0.425,0.321,0,0,0,0,1,0,1
0.669,0.136,0.42,0.685,0.064,0.645,0.185,0.44,0.486,0.567,0.512,0.535,0.297,0,0,0,0,1,0,1
0.806,0.144,0.618,0.7,0.227,0.639,0.319,0.39,0.647,0.595,0.409,0.314,0.323,0,0,0,0,1,0,1
0.801,0.145,0.527,0.622,0.133,0.599,0.274,0.449,0.866,0.72,0.371,0.561,0.378,0,0,0,0,1,0,1
0.762,0.241,0.535,0.578,0.289,0.686,0.287,0.499,0.691,0.673,0.506,0.412,0.33,0,0,0,0,1,0,1
0.809,0.175,0.651,0.487,0.103,0.522,0.302,0.487,0.662,0.832,0.529,0.506,0.469,0,0,0,0,1,0,1
0.907,0.038,0.376,0.665,0.184,0.677,0.27,0.498,0.788,0.723,0.551,0.457,0.297,0,0,0,0,1,0,1
0.753,0.086,0.681,0.531,0.379,0.683,0.338,0.335,0.791,0.713,0.839,0.671,0.545,0,0,0,0,1,0,1
0.688,0.181,0.459,0.473,0.236,0.668,0.117,0.354,0.707,0.583,0.654,0.71,0.304,0,0,0,0,1,0,1
0.737,0.0,0.715,0.474,0.09,0.864,0.289,0.302,0.45,0.565,0.446,0.719,0.283,0,0,0,0,1,0,1
0.637,0.166,0.533,0.342,0.195,0.753,0.275,0.35,0.571,0.569,0.407,0.592,0.316,0,0,0,0,1,0,1
0.568,0.059,0.78,0.464,0.05,0.661,0.43,0.441,0.562,0.53,0.36,0.687,0.545,0,0,0,0,1,0,1
0.743,0.155,0.612,0.427,0.17,0.757,0.344,0.383,0.917,0.523,0.604,0.583,0.453,0,0,0,0,1,0,1
